State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
LA	Caddo	81	37,739	19.5	254969
LA	Claiborne	0	34,274	30.9	17195
LA	Catahoula	0	31,325	26.1	10407
LA	Lincoln	7	36,532	24.2	46735
LA	Natchitoches	51	32,055	25.3	39566
LA	Iberia	16	40,914	23	73240
LA	St. Landry	14	33,466	26.4	83384
LA	St. Charles	5	54,553	12.7	52780
LA	Bienville	1	31,421	24.4	14353
LA	East Carroll	1	25,442	40.3	7759
LA	St. Helena	0	32,936	23.9	11203
LA	Lafourche	9	48,436	13.3	96318
LA	Sabine	3	36,604	21.9	24233
LA	Calcasieu	208	40,928	17.6	192768
LA	Union	33	36,863	21	22721
LA	Rapides	58	39,693	19.6	131613
LA	Livingston	78	53,125	12.5	128026
LA	Winn	0	33,447	23.9	15313
LA	St. Martin	2	39,444	21.8	52160
LA	Pointe Coupee	1	41,277	17.6	22802
LA	Morehouse	15	29,526	27.4	27979
LA	Beauregard	5	43,672	15.7	35654
LA	Madison	0	25,565	37.4	12093
LA	Bossier	49	48,957	14	116979
LA	West Baton Rouge	2	46,783	15	23788
LA	East Baton Rouge	358	44,911	17.3	440171
LA	Washington	8	30,950	26.8	47168
LA	Avoyelles	5	31,523	21.6	42073
LA	Vermilion	6	43,498	17.5	57999
LA	Ascension	28	62,069	12.8	107215
LA	Concordia	0	29,891	32.9	20822
LA	Assumption	15	43,503	16.7	23421
LA	Cameron	1	47,100	13.1	6839
